Wvlgth nm;Etr W*m-2*nm-1;Global tilt  W*m-2*nm-1;Direct+circumsolar W*m-2*nm-1
373,5;0,93900;5,5786E-01;3,8682E-01
374;0,93442;5,5640E-01;3,8651E-01
374,5;0,92500;5,5227E-01;3,8435E-01
375;0,98500;5,8930E-01;4,1087E-01
375,5;1,08740;6,5162E-01;4,5514E-01
376;1,12400;6,7480E-01;4,7218E-01
376,5;1,10400;6,6390E-01;4,6538E-01
377;1,18130;7,1225E-01;5,0014E-01
377,5;1,31490;7,9455E-01;5,5890E-01
378;1,41440;8,5595E-01;6,0314E-01
378,5;1,37650;8,3418E-01;5,8892E-01
379;1,22600;7,4389E-01;5,2616E-01
379,5;1,09800;6,6683E-01;4,7255E-01
380;1,15200;7,0077E-01;4,9751E-01
380,5;1,23100;7,5075E-01;5,3396E-01
381;1,24900;7,6383E-01;5,4424E-01
381,5;1,12240;6,8837E-01;4,9135E-01
382;0,95426;5,8678E-01;4,1958E-01
382,5;0,82313;5,0762E-01;3,6361E-01
383;0,73603;4,5499E-01;3,2648E-01
383,5;0,71095;4,4049E-01;3,1658E-01
384;0,82100;5,0968E-01;3,6689E-01
384,5;0,98620;6,1359E-01;4,4239E-01
385;1,08020;6,7355E-01;4,8638E-01
385,5;1,02960;6,4363E-01;4,6549E-01
386;0,99113;6,2100E-01;4,4984E-01
386,5;1,02790;6,4570E-01;4,6848E-01
387;1,03540;6,5147E-01;4,7343E-01
387,5;1,01860;6,4204E-01;4,6731E-01
388;1,00670;6,3582E-01;4,6350E-01
388,5;0,99743;6,3136E-01;4,6096E-01
389;1,08100;6,8543E-01;5,0121E-01
389,5;1,19580;7,5970E-01;5,5637E-01
390;1,25190;7,9699E-01;5,8457E-01
390,5;1,26010;8,0371E-01;5,9038E-01
391;1,33220;8,5138E-01;6,2634E-01
391,5;1,34900;8,6344E-01;6,3617E-01
392;1,24000;7,9493E-01;5,8656E-01
392,5;1,03120;6,6257E-01;4,8961E-01
393;0,74500;4,7975E-01;3,5502E-01
393,5;0,59120;3,8152E-01;2,8272E-01
394;0,76675;4,9567E-01;3,6780E-01
394,5;1,05570;6,8385E-01;5,0811E-01
395;1,24500;8,0772E-01;6,0096E-01
395,5;1,32450;8,6038E-01;6,4101E-01
396;1,16260;7,5655E-01;5,6443E-01
396,5;0,84330;5,5017E-01;4,1101E-01
397;0,65200;4,2619E-01;3,1882E-01
397,5;0,96142;6,2945E-01;4,7151E-01
398;1,30100;8,5249E-01;6,3944E-01
398,5;1,53420;1,0069E+00;7,5622E-01
399;1,62450;1,0693E+00;8,0408E-01
399,5;1,67170;1,1021E+00;8,2980E-01
400;1,68850;1,1141E+00;8,3989E-01
401;1,75200;1,1603E+00;8,7691E-01
402;1,81400;1,2061E+00;9,1387E-01
403;1,74000;1,1613E+00;8,8211E-01
404;1,76300;1,1801E+00;8,9849E-01
405;1,71500;1,1511E+00;8,7849E-01
406;1,66600;1,1227E+00;8,5878E-01
407;1,63000;1,1026E+00;8,4545E-01
408;1,69900;1,1514E+00;8,8488E-01
409;1,80900;1,2299E+00;9,4717E-01
410;1,53700;1,0485E+00;8,0910E-01
411;1,71500;1,1738E+00;9,0770E-01
412;1,81600;1,2478E+00;9,6686E-01
413;1,73920;1,1971E+00;9,2951E-01
414;1,71440;1,1842E+00;9,2134E-01
415;1,76880;1,2258E+00;9,5569E-01
416;1,81500;1,2624E+00;9,8628E-01
417;1,76600;1,2312E+00;9,6392E-01
418;1,68500;1,1777E+00;9,2392E-01
419;1,74900;1,2258E+00;9,6354E-01
420;1,59900;1,1232E+00;8,8467E-01
421;1,81100;1,2757E+00;1,0067E+00
422;1,78200;1,2583E+00;9,9499E-01
423;1,72100;1,2184E+00;9,6531E-01
424;1,70800;1,2117E+00;9,6182E-01
425;1,75500;1,2488E+00;9,9312E-01
426;1,69900;1,2135E+00;9,6667E-01
427;1,63800;1,1724E+00;9,3550E-01
428;1,65100;1,1839E+00;9,4625E-01
429;1,52300;1,0963E+00;8,7766E-01
430;1,21200;8,7462E-01;7,0134E-01
431;1,09900;7,9394E-01;6,3779E-01
432;1,82200;1,3207E+00;1,0628E+00
433;1,69130;1,2288E+00;9,9050E-01
434;1,56000;1,1352E+00;9,1653E-01
435;1,70900;1,2452E+00;1,0070E+00
436;1,86800;1,3659E+00;1,1061E+00
437;1,90000;1,3943E+00;1,1306E+00
438;1,66300;1,2238E+00;9,9368E-01
439;1,60100;1,1775E+00;9,5753E-01
440;1,83000;1,3499E+00;1,0993E+00
441;1,79900;1,3313E+00;1,0859E+00
442;1,92200;1,4250E+00;1,1640E+00
443;1,94900;1,4453E+00;1,1823E+00
444;1,89410;1,4084E+00;1,1537E+00
445;1,96500;1,4619E+00;1,1992E+00
446;1,75570;1,3108E+00;1,0766E+00
447;1,99000;1,4903E+00;1,2257E+00
448;2,01400;1,5081E+00;1,2422E+00
449;2,00100;1,5045E+00;1,2409E+00
450;2,06900;1,5595E+00;1,2881E+00
451;2,14200;1,6173E+00;1,3376E+00
452;2,04700;1,5482E+00;1,2822E+00
453;1,88640;1,4297E+00;1,1854E+00
454;2,01800;1,5335E+00;1,2730E+00
455;2,00100;1,5224E+00;1,2655E+00
456;2,06300;1,5724E+00;1,3088E+00
457;2,07700;1,5854E+00;1,3213E+00
458;2,03200;1,5514E+00;1,2946E+00
459;2,01200;1,5391E+00;1,2859E+00
460;1,99730;1,5291E+00;1,2791E+00
461;2,06390;1,5827E+00;1,3255E+00
462;2,07800;1,5975E+00;1,3392E+00
463;2,08400;1,6031E+00;1,3452E+00
464;2,01500;1,5544E+00;1,3055E+00
465;1,98400;1,5350E+00;1,2905E+00
466;2,02100;1,5673E+00;1,3190E+00
467;1,93100;1,4973E+00;1,2616E+00
468;2,01200;1,5619E+00;1,3178E+00
469;2,01800;1,5682E+00;1,3247E+00
470;1,93900;1,5077E+00;1,2749E+00
471;1,96900;1,5331E+00;1,2975E+00
472;2,07000;1,6126E+00;1,3661E+00
473;1,98820;1,5499E+00;1,3144E+00
474;2,01200;1,5671E+00;1,3304E+00
475;2,08000;1,6185E+00;1,3755E+00
476;2,01200;1,5631E+00;1,3299E+00
477;2,02500;1,5724E+00;1,3392E+00
478;2,08600;1,6230E+00;1,3839E+00
479;2,04000;1,5916E+00;1,3586E+00
480;2,06800;1,6181E+00;1,3825E+00
481;2,06100;1,6177E+00;1,3836E+00
482;2,06230;1,6236E+00;1,3899E+00
483;2,03100;1,6038E+00;1,3742E+00
484;1,98900;1,5734E+00;1,3492E+00
485;1,97900;1,5683E+00;1,3457E+00
486;1,60100;1,2716E+00;1,0918E+00
487;1,78900;1,4241E+00;1,2235E+00
488;1,93500;1,5413E+00;1,3252E+00
489;1,82240;1,4519E+00;1,2492E+00
490;2,03200;1,6224E+00;1,3968E+00
491;1,94900;1,5595E+00;1,3435E+00
492;1,85600;1,4869E+00;1,2818E+00
493;1,98300;1,5903E+00;1,3719E+00
494;1,93390;1,5525E+00;1,3402E+00
495;2,05100;1,6485E+00;1,4238E+00
496;1,94900;1,5676E+00;1,3548E+00
497;1,98000;1,5944E+00;1,3788E+00
498;1,92400;1,5509E+00;1,3421E+00
499;1,92300;1,5507E+00;1,3429E+00
500;1,91600;1,5451E+00;1,3391E+00
501;1,85800;1,4978E+00;1,2990E+00
502;1,86000;1,4966E+00;1,2991E+00
503;1,94900;1,5653E+00;1,3597E+00
504;1,83300;1,4587E+00;1,2682E+00
505;1,94720;1,5635E+00;1,3598E+00
506;2,02500;1,6264E+00;1,4153E+00
507;1,93540;1,5560E+00;1,3548E+00
508;1,88000;1,5165E+00;1,3210E+00
509;1,96500;1,5893E+00;1,3850E+00
510;1,91000;1,5481E+00;1,3497E+00
511;1,94100;1,5769E+00;1,3753E+00
512;1,98900;1,6186E+00;1,4125E+00
513;1,86600;1,5206E+00;1,3277E+00
514;1,82400;1,4885E+00;1,3003E+00
515;1,87500;1,5314E+00;1,3385E+00
516;1,89100;1,5455E+00;1,3514E+00
517;1,53900;1,2594E+00;1,1017E+00
518;1,75900;1,4403E+00;1,2605E+00
519;1,70400;1,3957E+00;1,2222E+00
520;1,86000;1,5236E+00;1,3349E+00
521;1,87300;1,5346E+00;1,3452E+00
522;1,91500;1,5690E+00;1,3760E+00
523;1,80400;1,4789E+00;1,2976E+00
524;1,94100;1,5905E+00;1,3962E+00
525;1,92800;1,5781E+00;1,3859E+00
526;1,87400;1,5341E+00;1,3479E+00
527;1,64100;1,3417E+00;1,1795E+00
528;1,88000;1,5357E+00;1,3508E+00
529;1,96900;1,6071E+00;1,4142E+00
530;1,89200;1,5446E+00;1,3598E+00
